             c_cp             | c_estado 
 20832                        | AGU
 20833                        | AGU
 20834                        | AGU
 20835                        | AGU
 20836                        | AGU
 20837                        | AGU
 20838                        | AGU
 20839                        | AGU
 20840                        | AGU
 20841                        | AGU
 20842                        | AGU
 20843                        | AGU
 20844                        | AGU
 20845                        | AGU
 20846                        | AGU
 20847                        | AGU
 20848                        | AGU
 20849                        | AGU
 20850                        | AGU
 20851                        | AGU
 20852                        | AGU
 20853                        | AGU
 20854                        | AGU
 20855                        | AGU
 20856                        | AGU
 20857                        | AGU
 20858                        | AGU
 20859                        | AGU
 20860                        | AGU
 20861                        | AGU
 20862                        | AGU
 20863                        | AGU
 20864                        | AGU
 20865                        | AGU
 20866                        | AGU
 20867                        | AGU
 20868                        | AGU
 20869                        | AGU
 20870                        | AGU
 20871                        | AGU
 20872                        | AGU
 20873                        | AGU
 20874                        | AGU
 20875                        | AGU
 20876                        | AGU
 20877                        | AGU
 20878                        | AGU
 20879                        | AGU
 20880                        | AGU
 20881                        | AGU
 20882                        | AGU
 20883                        | AGU
 20884                        | AGU
 20885                        | AGU
 20886                        | AGU
 20887                        | AGU
 20888                        | AGU
 20889                        | AGU
 20890                        | AGU
 20891                        | AGU
 20892                        | AGU
 20893                        | AGU
 20894                        | AGU
 20895                        | AGU
 20896                        | AGU
 20897                        | AGU
 20898                        | AGU
 20899                        | AGU
 20900                        | AGU
 20901                        | AGU
 20902                        | AGU
 20903                        | AGU
 20904                        | AGU
 20905                        | AGU
 20906                        | AGU
 20907                        | AGU
 20908                        | AGU
 20909                        | AGU
 20910                        | AGU
 20911                        | AGU
 20912                        | AGU
 20913                        | AGU
 20914                        | AGU
 20915                        | AGU
 20916                        | AGU
 20917                        | AGU
 20918                        | AGU
 20919                        | AGU
 20920                        | AGU
 20921                        | AGU
 20922                        | AGU
 20923                        | AGU
 20924                        | AGU
 20925                        | AGU
 20926                        | AGU
 20927                        | AGU
 20928                        | AGU
 20929                        | AGU
 20930                        | AGU
 20931                        | AGU
 20932                        | AGU
 20933                        | AGU
 20934                        | AGU
 20935                        | AGU
 20936                        | AGU
 20937                        | AGU
 20938                        | AGU
 20939                        | AGU
 20940                        | AGU
 20941                        | AGU
 20942                        | AGU
 20943                        | AGU
 20944                        | AGU
 20945                        | AGU
 20946                        | AGU
 20947                        | AGU
 20948                        | AGU
 20949                        | AGU
 20950                        | AGU
 20951                        | AGU
 20952                        | AGU
 20953                        | AGU
 20954                        | AGU
 20955                        | AGU
 20956                        | AGU
 20957                        | AGU
 20958                        | AGU
 20959                        | AGU
 20960                        | AGU
 20961                        | AGU
 20962                        | AGU
 20963                        | AGU
 20964                        | AGU
 20965                        | AGU
 20966                        | AGU
 20967                        | AGU
 20968                        | AGU
 20969                        | AGU
 20970                        | AGU
 20971                        | AGU
 20972                        | AGU
 20973                        | AGU
 20974                        | AGU
 20975                        | AGU
 20976                        | AGU
 20977                        | AGU
 20978                        | AGU
 20979                        | AGU
 20980                        | AGU
 20981                        | AGU
 20982                        | AGU
 20983                        | AGU
 20984                        | AGU
 20985                        | AGU
 20986                        | AGU
 20987                        | AGU
 20988                        | AGU
 20989                        | AGU
 20990                        | AGU
 20991                        | AGU
 20992                        | AGU
 20993                        | AGU
 20994                        | AGU
 20995                        | AGU
 20996                        | AGU
 20997                        | AGU
 20998                        | AGU
 20999                        | AGU
 21000                        | BCN
 21001                        | BCN
 21002                        | BCN
 21003                        | BCN
 21004                        | BCN
 21005                        | BCN
 21006                        | BCN
 21007                        | BCN
 21008                        | BCN
 21009                        | BCN
 21010                        | BCN
 21011                        | BCN
 21012                        | BCN
 21013                        | BCN
 21014                        | BCN
 21015                        | BCN
 21016                        | BCN
 21017                        | BCN
 21018                        | BCN
 21019                        | BCN
 21020                        | BCN
 21021                        | BCN
 21022                        | BCN
 21023                        | BCN
 21024                        | BCN
 21025                        | BCN
 21026                        | BCN
 21027                        | BCN
 21028                        | BCN
 21029                        | BCN
 21030                        | BCN
 21031                        | BCN
 21032                        | BCN
 21033                        | BCN
 21034                        | BCN
 21035                        | BCN
 21036                        | BCN
 21037                        | BCN
 21038                        | BCN
 21039                        | BCN
 21040                        | BCN
 21041                        | BCN
 21042                        | BCN
 21043                        | BCN
 21044                        | BCN
 21045                        | BCN
 21046                        | BCN
 21047                        | BCN
 21048                        | BCN
 21049                        | BCN
 21050                        | BCN
 21051                        | BCN
 21052                        | BCN
 21053                        | BCN
 21054                        | BCN
 21055                        | BCN
 21056                        | BCN
 21057                        | BCN
 21058                        | BCN
 21059                        | BCN
 21060                        | BCN
 21061                        | BCN
 21062                        | BCN
 21063                        | BCN
 21064                        | BCN
 21065                        | BCN
 21066                        | BCN
 21067                        | BCN
 21068                        | BCN
 21069                        | BCN
 21070                        | BCN
 21071                        | BCN
 21072                        | BCN
 21073                        | BCN
 21074                        | BCN
 21075                        | BCN
 21076                        | BCN
 21077                        | BCN
 21078                        | BCN
 21079                        | BCN
 21080                        | BCN
 21081                        | BCN
 21082                        | BCN
 21083                        | BCN
 21084                        | BCN
 21085                        | BCN
 21086                        | BCN
 21087                        | BCN
 21088                        | BCN
 21089                        | BCN
 21090                        | BCN
 21091                        | BCN
 21092                        | BCN
 21093                        | BCN
 21094                        | BCN
 21095                        | BCN
 21096                        | BCN
 21097                        | BCN
 21098                        | BCN
 21099                        | BCN
 21100                        | BCN
 21101                        | BCN
 21102                        | BCN
 21103                        | BCN
 21104                        | BCN
 21105                        | BCN
 21106                        | BCN
 21107                        | BCN
 21108                        | BCN
 21109                        | BCN
 21110                        | BCN
 21111                        | BCN
 21112                        | BCN
 21113                        | BCN
 21114                        | BCN
 21115                        | BCN
 21116                        | BCN
 21117                        | BCN
 21118                        | BCN
 21119                        | BCN
 21120                        | BCN
 21121                        | BCN
 21122                        | BCN
 21123                        | BCN
 21124                        | BCN
 21125                        | BCN
 21126                        | BCN
 21127                        | BCN
 21128                        | BCN
 21129                        | BCN
 21130                        | BCN
 21131                        | BCN
 21132                        | BCN
 21133                        | BCN
 21134                        | BCN
 21135                        | BCN
 21136                        | BCN
 21137                        | BCN
 21138                        | BCN
 21139                        | BCN
 21140                        | BCN
 21141                        | BCN
 21142                        | BCN
 21143                        | BCN
 21144                        | BCN
 21145                        | BCN
 21146                        | BCN
 21147                        | BCN
 21148                        | BCN
 21149                        | BCN
 21150                        | BCN
 21151                        | BCN
 21152                        | BCN
 21153                        | BCN
 21154                        | BCN
 21155                        | BCN
 21156                        | BCN
 21157                        | BCN
 21158                        | BCN
 21159                        | BCN
 21160                        | BCN
 21161                        | BCN
 21162                        | BCN
 21163                        | BCN
 21164                        | BCN
 21165                        | BCN
 21166                        | BCN
 21167                        | BCN
 21168                        | BCN
 21169                        | BCN
 21170                        | BCN
 21171                        | BCN
 21172                        | BCN
 21173                        | BCN
 21174                        | BCN
 21175                        | BCN
 21176                        | BCN
 21177                        | BCN
 21178                        | BCN
 21179                        | BCN
 21180                        | BCN
 21181                        | BCN
 21182                        | BCN
 21183                        | BCN
 21184                        | BCN
 21185                        | BCN
 21186                        | BCN
 21187                        | BCN
 21188                        | BCN
 21189                        | BCN
 21190                        | BCN
 21191                        | BCN
 21192                        | BCN
 21193                        | BCN
 21194                        | BCN
 21195                        | BCN
 21196                        | BCN
 21197                        | BCN
 21198                        | BCN
 21199                        | BCN
 21200                        | BCN
 21201                        | BCN
 21202                        | BCN
 21203                        | BCN
 21204                        | BCN
 21205                        | BCN
 21206                        | BCN
 21207                        | BCN
 21208                        | BCN
 21209                        | BCN
 21210                        | BCN
 21211                        | BCN
 21212                        | BCN
 21213                        | BCN
 21214                        | BCN
 21215                        | BCN
 21216                        | BCN
 21217                        | BCN
 21218                        | BCN
 21219                        | BCN
 21220                        | BCN
 21221                        | BCN
 21222                        | BCN
 21223                        | BCN
 21224                        | BCN
 21225                        | BCN
 21226                        | BCN
 21227                        | BCN
 21228                        | BCN
 21229                        | BCN
 21230                        | BCN
 21231                        | BCN
 21232                        | BCN
 21233                        | BCN
 21234                        | BCN
 21235                        | BCN
 21236                        | BCN
 21237                        | BCN
 21238                        | BCN
 21239                        | BCN
 21240                        | BCN
 21241                        | BCN
 21242                        | BCN
 21243                        | BCN
 21244                        | BCN
 21245                        | BCN
 21246                        | BCN
 21247                        | BCN
 21248                        | BCN
