 c_localidad | c_estado |               descripcion               
          30 | GRO      | Azoyú
          30 | GUA      | Salvatierra
          30 | JAL      | San Miguel el Alto
          30 | MEX      | Tequixquiac
          30 | OAX      | Chahuites
          30 | VER      | Río Blanco
          31 | GRO      | Tlapehuala
          31 | GUA      | Marfil
          31 | JAL      | Tala
          31 | MEX      | Xonacatlán
          31 | OAX      | Heroica Ciudad de Ejutla de Crespo
          31 | VER      | Isla
          32 | GRO      | San Luis Acatlán
          32 | GUA      | San José Iturbide
          32 | JAL      | La Barca
          32 | MEX      | San Mateo Atenco
          32 | OAX      | San Pedro Tapanatepec
          32 | VER      | Cuitláhuac
          33 | GRO      | Chilapa de Álvarez
          33 | GUA      | Apaseo el Alto
          33 | JAL      | Jamay
          33 | OAX      | Vicente Camalote
          33 | VER      | Fortín de las Flores
          34 | GRO      | Tlapa de Comonfort
          34 | GUA      | Ciudad Manuel Doblado
          34 | JAL      | Yahualica de González Gallo
          34 | OAX      | Villa de Tamazulápam del Progreso
          34 | VER      | Alvarado
          35 | GRO      | Tlalixtaquilla
          35 | GUA      | Jaral del Progreso
          35 | JAL      | Colotlán
          35 | OAX      | San Juan Bautista lo de Soto
          35 | VER      | José Cardel
          36 | GRO      | Cuajinicuilapa
          36 | GUA      | San Diego de la Unión
          36 | JAL      | Cihuatlán
          36 | MEX      | Chiconcuac
          36 | OAX      | San Juan Cacahuatepec
          36 | VER      | Banderilla
          37 | GRO      | Huamuxtitlán
          37 | GUA      | Santa Cruz Juventino Rosas
          37 | JAL      | Zapotiltic
          37 | OAX      | San Pedro Totolapa
          37 | VER      | Paraje Nuevo
          38 | GRO      | Cruz Grande
          38 | GUA      | Doctor Mora
          38 | JAL      | Villa Corona
          38 | OAX      | San Miguel el Grande
          38 | VER      | Playa Vicente
          39 | GRO      | Ocotito
          39 | GUA      | Dolores Hgo. Cuna de la Indep. Nal.
          39 | JAL      | Teocaltiche
          39 | MEX      | Almoloya de Juárez
          39 | OAX      | Zimatlán de Álvarez
          39 | VER      | Altotonga
          40 | GRO      | Copala
          40 | MEX      | Ocoyoacac
          40 | OAX      | San Pablo Huitzo
          40 | VER      | Juan Díaz Covarrubias
          41 | GRO      | Zihuatanejo
          41 | JAL      | Tequila
          41 | MEX      | Zumpango
          41 | OAX      | San Francisco Telixtlahuaca
          41 | VER      | Cuichapa
          42 | JAL      | El Quince (San José el Quince)
          42 | OAX      | Mariscala de Juárez
          42 | VER      | Santiago Tuxtla
          43 | JAL      | San José el Verde (El Verde)
          43 | OAX      | Santiago Pinotepa Nacional
          43 | VER      | Huayacocotla
          44 | JAL      | Jocotepec
          44 | OAX      | Santiago Jamiltepec
          44 | VER      | Paso de Ovejas
          45 | JAL      | Tecalitlán
          45 | OAX      | San Pedro Pochutla
          45 | VER      | Catemaco
          46 | JAL      | Chapala
          46 | OAX      | Heroica Ciudad de Tlaxiaco
          46 | VER      | Nogales
          47 | JAL      | Ajijic
          47 | OAX      | San Juan Bautista Valle Nacional
          47 | VER      | Las Choapas
          48 | JAL      | San Ignacio Cerro Gordo
          48 | OAX      | Lagunas
          48 | VER      | General Miguel Alemán (Potrero Nuevo)
          49 | JAL      | Zacoalco de Torres
          49 | OAX      | Ciudad Ixtepec
          49 | VER      | Coatzintla
          50 | JAL      | Huejuquilla el Alto
          50 | OAX      | Santiago Juxtlahuaca
          50 | VER      | Ángel R. Cabada
          51 | JAL      | Villa Hidalgo
          51 | OAX      | San Sebastián Tecomaxtlahuaca
          51 | VER      | San Rafael
          52 | JAL      | Unión de San Antonio
          52 | OAX      | Asunción Nochixtlán
          52 | VER      | Tlacojalpan
          53 | JAL      | Las Pintitas
          53 | OAX      | San Francisco Ixhuatán
          53 | VER      | Cosoleacaque
          54 | JAL      | Tamazula de Gordiano
          54 | OAX      | San Blas Atempa
          54 | VER      | Lerdo de Tejada
          55 | JAL      | Acatlán de Juárez
          55 | OAX      | Santo Domingo Tehuantepec
          55 | VER      | Tihuatlán
          56 | JAL      | Valle de Guadalupe
          56 | OAX      | Cuilápam de Guerrero
          56 | VER      | Atoyac
          57 | OAX      | El Rosario
          57 | VER      | Huiloapan de Cuauhtémoc
          58 | OAX      | Santa Lucia del Camino
          58 | VER      | Cazones de Herrera
          59 | OAX      | San Antonio de la Cal
          59 | VER      | Yecuatla
          60 | VER      | Soledad de Doblado
          61 | VER      | Cerro Azul
          62 | VER      | Tezonapa
          66 | VER      | Sihuapan
          67 | VER      | El Higo
          68 | VER      | Paso del Macho
          69 | VER      | Tlapacoyan
(664 rows)

